,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
472,"Kershaw, Clayton",477132,35.1,0.6,,43.7,0.4,16.1,4.2,,,
473,"Lowder, Rhett",695076,27.3,25.9,,27.3,19.5,,,,,
474,"Bowman, Matt",621199,0.6,38.8,19.7,,,,15.1,,25.8,
475,"Salazar, Eduardo",674285,6.9,49.8,,42.7,0.4,0.2,,,,
476,"Garabito, Gerson",642520,39.2,10.4,,4.9,11.6,33.9,,,,
477,"Toussaint, Touki",657053,11.6,25.1,,0.2,,26.1,37.1,,,
478,"Ashby, Aaron",676879,1.4,45.5,,13.6,20.2,19.2,,,,
479,"Anderson, Grant",681982,27.5,24.0,,41.0,7.5,,,,,
480,"Marte, Yunior",628708,16.0,35.3,0.8,41.7,,,6.2,,,
481,"Ferrer, Jose A.",678606,16.6,58.8,,5.5,19.1,,,,,
482,"Roberts, Ethan",681799,,8.6,32.1,,,,,,59.3,
483,"Allen, Logan",663531,18.7,16.4,22.1,,,1.3,20.6,,20.9,
484,"Kelly, Michael",547184,31.9,0.9,,13.2,,,,,54.0,
485,"Diaz, Yilber",700270,58.0,,,27.3,0.4,14.3,,,,
486,"Bubic, Kris",663460,44.3,2.8,0.4,36.0,16.5,,,,,
487,"Coulombe, Danny",543056,15.5,13.5,30.0,,,12.4,,,28.5,
488,"France, J.P.",641585,29.4,1.7,23.8,,22.7,19.3,,,3.0,
489,"Rasmussen, Drew",656876,37.7,29.2,27.7,,,,,,5.4,
490,"Warren, Will",701542,30.6,26.4,4.4,,12.2,,,,26.4,
491,"Varland, Gus",681402,53.4,3.3,,38.2,5.1,,,,,
492,"Jackson, Jay",543351,26.0,5.1,,55.6,13.2,,,,,
493,"Jiménez, Dany",666204,37.6,,,58.4,4.0,,,,,
494,"Hanifee, Brenan",669724,14.1,54.0,,22.4,9.4,,,,,
495,"Bazardo, Eduard",660825,27.0,19.3,,46.7,,,7.0,,,
496,"Little, Luke",681432,72.4,,,,,,1.4,,26.3,
497,"Rodríguez, Yerry",666720,58.0,,,30.8,11.2,,,,,
498,"Manning, Matt",666159,48.2,,,4.1,,9.8,4.1,,33.8,
499,"Crouse, Hans",668968,0.5,49.4,,38.9,11.2,,,,,
500,"Allard, Kolby",663465,40.1,6.0,17.4,,24.3,12.2,,,,
501,"Ellard, Fraser",686642,55.6,8.3,8.8,23.4,3.9,,,,,
502,"Speier, Gabe",642100,34.8,33.2,,29.4,1.4,,,,1.2,
503,"Staumont, Josh",622251,10.0,27.1,,61.4,,1.4,,,,
504,"Cimber, Adam",643256,31.5,35.8,,32.7,,,,,,
505,"King, Bryan",687911,52.4,5.5,,34.6,,7.5,,,,
506,"White, Mitch",669952,38.7,13.8,,11.4,,13.6,,,22.5,
507,"Brooks, Aaron",605156,28.0,24.3,,32.5,13.4,1.7,,,,
508,"Rosenberg, Kenny",670046,48.6,,13.6,,32.8,5.0,,,,
509,"Madden, Ty",680744,42.7,4.7,15.4,18.1,,4.0,15.1,,,
510,"Gallegos, Giovanny",606149,44.1,,,49.1,6.7,,,,,
511,"Gasser, Robert",688107,19.8,24.6,9.3,,14.3,,,,32.1,
512,"Marinaccio, Ron",676760,51.1,,,,33.9,,,,14.9,
513,"Manoah, Alek",666201,27.7,27.2,,30.5,14.7,,,,,
514,"Brewer, Colten",605155,40.4,2.0,1.8,26.9,,28.9,,,,
515,"Williams, Devin",642207,53.5,,1.5,,45.0,,,,,
516,"González, Victor",624647,,47.9,,28.5,23.6,,,,,
517,"Festa, Matt",670036,40.0,,26.5,,0.3,,,,33.2,
518,"Reid-Foley, Sean",656887,67.3,0.5,,12.5,19.7,,,,,
519,"Poteet, Cody",547001,28.4,24.7,,,19.8,9.9,,,17.2,
520,"Kerr, Ray",678061,44.6,,3.9,,,47.0,4.4,,,
521,"Quijada, José",650671,94.5,,,1.3,4.2,,,,,
522,"Lange, Alex",656638,13.5,21.5,,,7.2,57.8,,,,
523,"Brasier, Ryan",518489,29.4,16.3,12.0,42.2,,,,,,
524,"Sammons, Bryan",676614,39.3,,25.4,,8.3,7.8,,,19.3,
525,"Germán, Domingo",593334,39.9,4.3,,,22.5,33.2,,,,
526,"Ramirez, Emmanuel",642629,53.4,,,9.7,,,36.9,,,
527,"Baker, Bryan",641329,48.8,,,28.2,13.8,9.2,,,,
528,"Ort, Kaleb",672391,55.5,,18.9,,7.9,,,,17.8,
529,"Davis, Noah",663562,1.1,46.0,20.5,,3.3,3.3,,,21.4,
530,"Englert, Mason",669438,26.8,10.4,13.7,16.4,29.0,3.6,,,,
531,"Petersen, Michael",656848,65.6,,31.1,0.6,2.8,,,,,
532,"Leone, Dominic",608678,26.6,8.3,15.0,19.4,26.0,,,,4.7,
533,"Criswell, Jeff",676105,40.4,2.5,,40.1,14.4,2.5,,,,
534,"Hentges, Sam",656529,30.8,16.0,,21.4,,31.9,,,,
535,"Basso, Brady",669620,46.9,2.3,18.0,,12.3,20.6,,,,
536,"Hughes, Brandon",676714,37.1,22.6,,40.3,,,,,,
537,"Berroa, Prelander",672860,40.5,2.9,,56.6,,,,,,
538,"Walston, Blake",686796,32.7,3.8,17.8,,16.3,13.1,,,16.3,
539,"Ryan, Ryder",656924,14.1,41.8,,43.8,0.3,,,,,
540,"Hernández, Daysbel",678226,40.9,4.8,,54.2,,,,,,
541,"Pennington, Walter",679156,2.4,29.7,27.0,40.9,,,,,,
542,"Alzolay, Adbert",640470,20.4,23.7,7.6,47.4,0.6,,,,0.3,
543,"Bush, Ky",681066,50.9,,,24.4,9.8,14.9,,,,
544,"Taylor, Troy",700187,57.3,,,,1.5,,,,41.2,
545,"Smith, Drew",622098,43.6,2.7,26.8,14.0,5.2,7.6,,,,
546,"Sauer, Matt",669422,45.3,8.9,,23.2,,16.2,6.4,,,
547,"Cosgrove, Tom",676680,22.9,26.0,,,,,,,51.1,
548,"Nance, Tommy",667297,0.3,36.3,,25.8,,37.6,,,,
549,"Whitlock, Garrett",676477,,22.7,19.3,15.3,28.3,,,,14.3,
550,"Means, John",607644,37.5,,,23.1,28.4,10.9,,,,
551,"Blewett, Scott",656240,40.4,,,37.6,,,21.9,,,
552,"Paredes, Enoli",660600,40.4,21.9,,37.6,,,,,,
553,"Cuas, Jose",621016,33.5,39.8,,,3.4,,,,23.2,
554,"Thompson, Zack",668868,36.0,,,27.8,,14.2,,,,
555,"Fitts, Richard",690916,44.6,,,31.2,,,10.8,,13.4,
556,"Cisnero, José",542585,31.9,25.2,0.6,29.1,13.1,,,,,
557,"Bolton, Cody",675989,3.8,27.6,31.4,,12.5,,,,24.7,
558,"McGreevy, Michael",700241,19.6,35.0,10.9,19.0,9.3,6.1,,,,
559,"Marte, José",665896,24.1,28.3,,38.6,9.0,,,,,
560,"Burke, Sean",680732,40.5,,,28.5,6.1,24.9,,,,
561,"Keuchel, Dallas",572971,,56.8,14.6,1.0,27.6,,,,,
562,"Horn, Bailey",690544,23.8,,9.9,,,6.3,,,60.1,
563,"Clevinger, Mike",605182,39.9,5.6,11.6,19.1,21.1,2.6,,,,
564,"Henriquez, Ronny",678692,29.4,3.3,,33.3,34.0,,,,,
565,"Emanuel, Kent",592288,,58.3,,0.3,12.9,,,,28.5,
566,"Ramírez, Erasmo",541640,4.3,39.4,39.7,,6.6,9.9,,,,
567,"Bigge, Hunter",685801,59.0,,,29.7,,7.0,,,4.3,
568,"Maldonado, Anthony",687424,,34.3,3.7,62.0,,,,,,
569,"Ryan, River",689981,40.0,10.2,3.1,22.7,8.5,15.6,,,,
570,"Sulser, Cole",642121,49.0,,17.1,8.2,25.7,,,,,
571,"Holman, Grant",680880,53.1,,,13.4,33.6,,,,,
572,"Winn, Cole",668390,42.3,7.3,,26.6,,2.8,21.0,,,
573,"Zulueta, Yosver",691172,4.9,60.8,,23.4,1.7,,,,9.1,
574,"Sborz, Josh",622250,45.8,,,31.3,,22.9,,,,
575,"García, Deivi",665620,55.8,,,,12.4,15.9,,,15.9,
576,"Peralta, Sammy",671111,46.5,,,5.7,22.7,,,,25.2,
577,"Jefferies, Daulton",641726,8.5,37.4,14.6,24.6,14.9,,,,,
578,"Merryweather, Julian",657240,43.8,,,43.0,12.1,,,,1.1,
579,"Zuñiga, Guillo",670871,32.5,34.7,,21.8,11.1,,,,,
580,"La Sorsa, Joe",686747,2.2,56.1,,20.7,21.0,,,,,
581,"Stewart, Brock",592779,45.1,10.8,17.9,,1.1,,,,25.0,
582,"Young, Alex",622065,0.7,38.2,,0.4,46.4,14.2,,,,
583,"Almonte, Yency",622075,11.2,37.5,13.1,,2.6,,,,35.6,
584,"Beede, Tyler",595881,29.4,7.5,,,,23.4,39.6,,,
585,"Palencia, Daniel",694037,56.7,8.0,,24.3,,1.1,9.9,,,
586,"Mercado, Michael",675650,47.3,,25.4,,5.0,22.3,,,,
587,"Wells, Tyler",669330,34.4,,17.8,10.4,18.9,18.5,,,,
588,"Uribe, Abner",682842,0.8,64.7,,34.5,,,,,,
589,"Vines, Darius",670241,37.7,,12.5,13.2,31.1,5.4,,,,
590,"Williamson, Brandon",682227,25.0,,45.7,,21.9,7.0,,,0.4,
591,"Heller, Ben",621294,13.3,23.5,20.4,16.9,21.6,,,,4.3,
592,"Hernández, Elieser",622694,43.4,6.8,28.3,3.2,18.3,,,,,
593,"Rodríguez, Joely",570257,,49.0,,,36.1,,,,14.9,
594,"Lucas, Easton",687922,53.7,0.4,21.1,19.1,5.7,,,,,
595,"Anderson, Shaun",641312,30.3,13.1,,37.3,11.5,,,,7.8,
596,"Guenther, Sean",674944,3.3,37.9,,27.6,,,31.3,,,
597,"Veneziano, Anthony",685107,47.1,,,23.6,6.2,,,,23.1,
598,"Cobb, Alex",502171,,43.0,,,,13.2,43.8,,,
599,"Beck, Tristan",663941,50.4,,,14.5,,19.8,,,15.3,
600,"Bloss, Jake",814005,43.7,1.7,,23.1,8.0,13.0,,,10.5,
601,"Barnes, Matt",598264,39.2,,,,,43.5,17.3,,,
602,"Rodriguez, Carlos",692230,18.5,21.5,18.0,15.5,15.9,10.7,,,,
603,"Jacob, Alek",689690,21.1,34.1,,,30.6,,,,14.2,
604,"Castro, Miguel",612434,,45.7,,38.8,15.5,,,,,
605,"Frías, Luis",666818,28.4,9.6,46.3,15.7,,,,,,
606,"Mahle, Tyler",641816,52.8,,3.5,13.5,,,30.1,,,
607,"Avila, Nick",687014,34.7,12.9,31.1,4.0,,17.3,,,,
608,"Reynolds, Sean",669308,48.9,,,43.6,5.3,,,,2.2,
609,"Aldegheri, Sam",691951,56.8,,,13.5,21.2,8.6,,,,
610,"Waguespack, Jacob",621097,38.9,,35.3,,11.8,14.0,,,,
611,"Pinto, Ricardo",620982,7.7,44.5,,10.9,,,30.0,,6.8,
612,"Miller, Ryan",668943,,42.5,,40.6,,,,,16.9,
613,"Senzatela, Antonio",622608,58.3,0.5,,22.5,11.9,6.9,,,,
614,"Rocker, Kumar",677958,42.2,17.0,,38.5,1.4,0.9,,,,
615,"Robertson, Nick",687798,44.7,,1.4,16.6,23.0,,,,14.3,
616,"Romano, Jordan",605447,47.9,,,52.1,,,,,,
617,"Walker, Josh",677020,34.0,27.9,,,,38.1,,,,
618,"Lazar, Max",676661,61.2,,16.8,0.5,,21.5,,,,
619,"Gómez, Yoendrys",672782,36.0,,,12.1,7.9,10.3,,,33.6,
620,"Burdi, Nick",595897,59.5,0.5,,39.0,1.0,,,,,
621,"Zeferjahn, Ryan",666171,35.6,,47.6,,,0.5,,,16.3,
622,"Plesac, Zach",668676,44.2,,,26.9,23.6,5.3,,,,
623,"Dana, Caden",702674,52.4,,4.4,26.7,9.2,7.3,,,,
624,"Teng, Kai-Wei",678906,5.9,44.1,,10.8,3.4,18.6,,,17.2,
625,"Sabrowski, Erik",681870,57.6,,,16.7,,25.8,,,,
626,"Snead, Kirby",669912,21.9,38.8,,21.4,17.9,,,,,
627,"de Geus, Brett",676969,0.5,45.4,21.1,,,28.4,4.6,,,
628,"Mushinski, Parker",656786,18.6,9.3,41.2,,,21.6,,,9.3,
629,"O'Brien, Riley",676617,2.1,45.9,,25.8,,24.7,,,1.5,
630,"Ramirez, Nick",598286,1.0,48.5,,,27.3,,,,23.2,
631,"Strzelecki, Peter",657265,42.2,7.3,13.0,17.7,19.8,,,,,
632,"Herget, Jimmy",623474,17.5,25.9,,10.1,6.3,40.2,,,,
633,"Duffey, Tyler",608648,28.0,16.4,,17.5,7.9,30.2,,,,
634,"Castellanos, Humberto",528748,14.5,31.7,26.9,,12.4,14.5,,,,
635,"Newcomb, Sean",656794,47.3,12.0,,,3.8,16.3,,,,20.7
636,"Dobnak, Randy",677976,12.0,22.4,,31.1,34.4,,,,,
637,"Peralta, Luis",678821,75.7,,,,0.6,23.8,,,,
638,"McMillon, John",669111,38.9,,0.6,60.6,,,,,,
639,"Lucchesi, Joey",664192,,45.3,26.8,,0.6,27.4,,,,
640,"Matzek, Tyler",554431,67.0,,0.6,32.4,,,,,,
641,"Wingenter, Trey",622259,49.7,,,45.3,,,5.0,,,
642,"Feyereisen, J.P.",656420,47.5,,,24.0,28.5,,,,,
643,"Lopez, Jacob",682052,42.1,,12.9,37.6,7.3,,,,,
644,"Adon, Joan",672851,37.1,21.3,,10.7,19.1,11.8,,,,
645,"Strider, Spencer",675911,51.1,,,32.0,4.5,12.4,,,,
646,"Nittoli, Vinny",657697,,1.7,57.9,,2.2,8.4,,,29.8,
647,"Halvorsen, Seth",678020,37.3,18.6,,15.8,,,28.2,,,
648,"Castillo, Diego",650895,11.9,23.2,,62.7,2.3,,,,,
649,"O'Loughlin, Jack",672552,50.6,1.7,,22.2,9.7,15.9,,,,
650,"Gray, Josiah",680686,22.2,9.7,24.4,11.9,10.2,10.8,,,10.8,
651,"Junk, Janson",676083,48.0,8.0,,24.6,,12.6,,,6.9,
652,"Borucki, Ryan",621366,,24.7,,52.3,12.6,,,,10.3,
653,"Warren, Austin",681810,20.2,27.7,12.7,39.3,,,,,,
654,"deGrom, Jacob",594798,45.9,,,45.3,5.8,2.9,,,,
655,"Carasiti, Matt",571539,18.2,32.9,17.6,,,,,,,
656,"Rogers, Josh",642028,34.7,4.7,5.9,11.8,4.7,,,,38.2,
657,"Vespi, Nick",663989,,,56.8,24.9,,18.3,,,,
658,"Kilian, Caleb",668873,45.5,2.4,38.3,,1.2,4.8,,,7.8,
659,"Silseth, Chase",681217,42.5,9.0,,,,3.0,19.2,,26.3,
660,"Cueto, Johnny",456501,9.0,35.9,5.4,20.4,28.7,0.6,,,,
661,"Bieber, Shane",669456,41.6,,9.6,24.7,13.3,10.8,,,,
662,"Legumina, Casey",668984,50.0,,,22.9,26.5,,,,0.6,
663,"Díaz, Jhonathan",646242,31.3,19.9,,21.1,15.7,12.0,,,,
664,"Bachar, Lake",669199,47.8,,,31.1,21.1,,,,,
665,"Kuhnel, Joel",669270,27.8,17.1,,41.1,12.0,1.9,,,,
666,"Kitchen, Austin",685116,13.9,34.2,,,17.7,11.4,,,22.8,
667,"Espino, Paolo",502179,32.9,,,,23.4,31.6,,,12.0,
668,"Montgomery, Mason",682254,72.8,,,27.2,,,,,,
669,"Casparius, Ben",676508,48.7,,3.8,35.9,,11.5,,,,
670,"Bickford, Phil",641360,76.6,,,23.4,,,,,,
671,"Jay, Tyler",664079,7.8,52.3,22.2,,,,,,17.6,
672,"Herget, Kevin",643361,47.0,,15.9,2.0,35.1,,,,,
673,"Gillaspie, Logan",670810,47.0,,6.6,1.3,14.6,19.9,,,10.6,
674,"Hill, Jaden",677955,9.9,44.4,,,27.8,,,,17.9,
675,"Parsons, Wes",641149,37.2,15.5,,20.3,5.4,21.6,,,,
676,"Winans, Allan",642216,15.6,23.1,,19.7,41.5,,,,,
677,"Klein, Will",694361,56.8,,,13.7,,29.5,,,,
678,"Gilbert, Tyler",656457,32.4,36.6,13.1,,,2.1,0.7,,15.2,
679,"Nelson, Kyle",669459,27.6,,21.4,51.0,,,,,,
680,"Shugart, Chase",663767,15.5,19.0,19.7,,18.3,,,,27.5,
681,"Davis, Austin",656354,,38.0,38.0,,,,,,23.9,
682,"Winder, Josh",680739,27.7,7.8,,20.6,22.7,,,,21.3,
683,"Hernandez, Nick",663321,37.4,,,58.3,4.3,,,,,
684,"Rutledge, Jackson",671131,15.1,33.8,15.8,23.7,,2.9,8.6,,,
685,"Gillispie, Connor",687362,42.0,,21.7,13.8,22.5,,,,,
686,"Hartlieb, Geoff",664129,29.0,26.8,25.4,18.8,,,,,,
687,"Iriarte, Jairo",683568,46.0,,,40.1,13.9,,,,,
688,"Waldrep, Hurston",694462,39.8,,,22.6,,3.8,33.8,,,
689,"Guerrero, Luis",692285,46.6,,,28.6,24.8,,,,,
690,"Walters, Andrew",689958,62.9,,,37.1,,,,,,
691,"Bermúdez, Jonathan",642834,49.6,,,9.9,11.6,,,,28.9,
692,"Zastryzny, Rob",642239,40.3,,48.7,,4.2,,,,6.7,
693,"Campbell, Isaiah",663462,19.3,1.7,,47.9,,,,,31.1,
694,"Raley, Brooks",548384,,9.2,24.4,,18.5,,,,47.9,
695,"Hartwig, Grant",701643,4.2,34.7,21.2,,6.8,,,,33.1,
696,"Miley, Wade",489119,21.2,15.3,38.1,2.5,20.3,2.5,,,,
697,"Leibrandt, Brandon",605335,26.5,6.0,,27.4,32.5,7.7,,,,
698,"Santos, Gregory",666619,5.4,33.0,,58.9,2.7,,,,,
699,"Selby, Colin",681882,26.8,32.1,,19.6,,21.4,,,,
700,"Eisert, Brandon",685126,36.4,,,40.9,22.7,,,,,
701,"Foster, Matt",641582,44.4,,,31.5,15.7,8.3,,,,
702,"Heasley, Jonathan",669169,19.4,,,23.1,,23.1,,,34.3,
703,"Mederos, Victor",682989,32.7,18.7,,22.4,10.3,15.9,,,,
704,"Contreras, Luis",664351,46.7,,,22.9,9.5,21.0,,,,
705,"Graceffo, Gordon",700669,41.0,,,19.0,24.8,15.2,,,,
706,"Garrett, Amir",607237,34.6,1.9,,63.5,,,,,,
707,"Brzykcy, Zach",694350,55.8,,,,21.2,23.1,,,,
708,"Robert, Daniel",642016,45.6,2.9,,2.9,,,,,48.5,
709,"Pint, Riley",666207,29.4,1.0,,69.6,,,,,,
710,"Graterol, Brusdar",660813,14.9,41.6,11.9,30.7,1.0,,,,,
711,"Mattson, Isaac",676755,70.0,,,7.0,23.0,,,,,
